
--- Producers: 10 ---
1,3576,244.97,11557.96,107.51
2,1708,239.41,2721.97,52.17
3,1603,248.70,3777.21,61.46
4,1790,250.04,3635.61,60.30
5,1824,238.79,2234.20,47.27
6,1360,232.87,1897.30,43.56
7,1388,242.13,2714.52,52.10
8,1111,238.30,2175.18,46.64
9,1155,246.09,2479.48,49.79
10,1079,233.10,1760.73,41.96
11,956,240.40,2118.73,46.03
12,1830,248.09,3274.35,57.22
13,1451,257.88,3600.85,60.01
14,964,231.25,1668.43,40.85
15,973,229.16,1524.55,39.05
16,1077,251.39,3124.14,55.89
17,1049,241.67,3137.16,56.01
18,1038,239.25,2398.35,48.97
19,1118,238.69,2044.54,45.22
20,962,239.62,2132.14,46.18
21,6978,235.04,4314.37,65.68
22,1058,240.50,2314.10,48.11
23,1527,261.24,4019.81,63.40
24,10095,363.88,120482.76,347.11
25,1318,249.18,3053.10,55.25
26,2830,240.63,3602.67,60.02
27,2329,235.03,2845.33,53.34
28,1271,231.90,1941.96,44.07
29,1043,228.98,1576.03,39.70
30,1012,234.70,1916.90,43.78
31,1064,255.38,3025.63,55.01
32,1067,233.06,1695.72,41.18
33,1069,237.13,2329.68,48.27
34,966,241.20,2196.80,46.87
35,1543,247.53,2849.30,53.38
36,1085,244.78,2570.47,50.70
37,1215,248.47,2627.42,51.26
38,897,245.80,2398.65,48.98
39,1250,251.51,2507.13,50.07
40,999,258.02,2910.52,53.95
41,1033,244.85,2322.00,48.19
42,958,250.19,2781.49,52.74
43,1335,239.47,1921.15,43.83
44,1080,250.28,3075.43,55.46
45,1027,237.71,1883.86,43.40
46,1323,244.72,2563.30,50.63
47,987,243.79,2234.29,47.27
48,1123,244.53,2305.57,48.02
49,1085,247.49,2894.80,53.80
50,14909,336.61,113171.57,336.41
51,19621,376.30,156073.92,395.06
52,907,241.40,2245.49,47.39
53,985,242.69,2208.62,47.00
54,1888,246.27,2393.73,48.93
55,984,246.69,2508.30,50.08
56,1008,235.37,1818.62,42.65
57,1264,241.74,2438.97,49.39
58,963,236.77,1890.58,43.48
59,1311,246.89,2664.24,51.62
60,1011,238.94,2176.25,46.65
61,1065,241.37,2203.68,46.94
62,1031,238.74,2027.38,45.03
63,2170,241.28,2412.08,49.11
64,1298,245.01,2573.13,50.73
65,1572,245.44,2648.29,51.46
66,4549,418.07,172827.70,415.73
67,20069,443.12,273224.12,522.71
68,1379,249.64,2746.51,52.41
69,2595,250.36,3002.39,54.79
70,1051,243.25,2225.63,47.18
71,1572,239.01,2146.90,46.33
72,1509,234.14,1837.11,42.86
73,963,237.62,2087.25,45.69
74,1206,244.60,2571.59,50.71
75,1619,242.88,2437.55,49.37
76,1053,240.09,2487.79,49.88
77,2597,236.13,2243.46,47.37
78,1134,235.41,1781.46,42.21
79,1012,244.62,2546.07,50.46
80,3043,249.93,3459.82,58.82
81,1198,247.50,2708.51,52.04
82,1709,234.19,1852.59,43.04
83,1036,241.85,2409.74,49.09
84,1221,246.17,2500.90,50.01
85,1679,250.64,2847.97,53.37
86,3070,242.48,2623.93,51.22
87,1037,235.03,1750.25,41.84
88,1190,243.75,2378.75,48.77
89,1047,240.12,2322.67,48.19
90,1744,241.03,2294.06,47.90
91,1058,232.66,1618.77,40.23
92,1228,239.74,2212.72,47.04
93,1103,234.16,1731.75,41.61
94,1906,243.58,2747.69,52.42
95,1236,237.03,1958.02,44.25
96,1005,239.09,2030.51,45.06
97,2939,236.66,2712.65,52.08
98,1237,236.46,2010.59,44.84
99,1076,243.33,2602.14,51.01
100,1773,241.21,2385.89,48.85

--- Producers: 15 ---
1,1576,243.35,2308.22,48.04
2,2375,240.66,2676.49,51.73
3,1317,239.73,2369.85,48.68
4,3723,241.39,3131.17,55.96
5,1413,233.30,1758.17,41.93
6,1573,232.84,1914.20,43.75
7,1202,237.28,2289.15,47.85
8,2373,242.57,3155.55,56.17
9,1439,246.45,2813.00,53.04
10,1354,238.94,2083.28,45.64
11,1516,236.60,2111.20,45.95
12,6266,244.53,3786.81,61.54
13,1781,239.62,2295.27,47.91
14,1365,232.51,1725.10,41.53
15,2472,237.12,2327.40,48.24
16,33133,366.48,395079.44,628.55
17,16649,317.00,76852.11,277.22
18,8502,357.04,97359.80,312.03
19,1445,255.62,3655.23,60.46
20,1924,252.84,3884.80,62.33
21,1981,269.28,4779.18,69.13
22,4138,256.16,4038.25,63.55
23,1334,255.34,3038.19,55.12
24,1674,242.21,2207.52,46.98
25,1615,258.38,3163.60,56.25
26,1614,262.97,3746.87,61.21
27,1944,259.11,3045.70,55.19
28,1834,256.82,3337.69,57.77
29,1587,265.44,3828.13,61.87
30,1787,267.81,4382.26,66.20
31,13622,281.61,15814.49,125.76
32,6806,299.80,11397.24,106.76
33,3646,275.26,6731.85,82.05
34,1646,250.42,3849.59,62.05
35,1332,248.34,3981.15,63.10
36,3164,258.01,7026.29,83.82
37,3999,265.81,7128.92,84.43
38,2349,247.23,4387.40,66.24
39,1522,251.40,4122.28,64.20
40,1812,243.57,3819.83,61.80
41,3279,275.43,10469.76,102.32
42,3376,284.92,7585.18,87.09
43,5294,263.31,6239.18,78.99
44,1846,251.69,3885.54,62.33
45,1826,257.20,3694.19,60.78
46,1554,245.89,2796.14,52.88
47,1495,251.83,3461.04,58.83
48,2013,265.32,7493.78,86.57
49,1645,258.44,5886.03,76.72
50,1565,262.56,5266.85,72.57
51,1553,255.57,4550.49,67.46
52,1360,249.69,4400.23,66.33
53,1972,245.88,2915.43,53.99
54,1468,245.03,3109.13,55.76
55,1323,241.88,2571.23,50.71
56,8679,245.66,6116.05,78.21
57,2241,273.36,7313.09,85.52
58,1484,245.51,3839.60,61.96
59,1301,266.14,5396.94,73.46
60,108526,774.72,1841727.75,1357.10
61,2638,250.10,3373.36,58.08
62,1887,251.67,3106.37,55.73
63,1760,246.30,3711.63,60.92
64,1424,247.81,3575.59,59.80
65,1879,249.67,3935.48,62.73
66,2462,269.13,7747.61,88.02
67,3198,256.81,4744.16,68.88
68,3108,260.46,5277.91,72.65
69,1641,248.21,3383.85,58.17
70,2038,245.96,2959.07,54.40
71,1486,241.60,3056.12,55.28
72,4812,276.84,8658.44,93.05
73,7055,328.16,75805.59,275.33
74,1434,247.05,3519.52,59.33
75,1824,255.56,4571.27,67.61
76,5718,262.64,5818.21,76.28
77,33267,449.39,376748.62,613.80
78,5213,385.40,122494.70,349.99
79,11696,337.59,98554.41,313.93
80,8963,273.50,14901.33,122.07
81,6245,287.68,11686.32,108.10
82,1837,247.89,3007.45,54.84
83,1459,250.99,5698.60,75.49
84,3156,319.54,8477.77,92.07
85,3846,296.39,12979.64,113.93
86,1668,282.83,5938.75,77.06
87,1797,247.81,2563.80,50.63
88,2781,247.38,4827.08,69.48
89,5261,306.20,74251.91,272.49
90,4602,430.67,181845.64,426.43
91,2428,219.63,1345.32,36.68
92,1357,225.97,1560.51,39.50
93,6560,236.49,3915.12,62.57
94,1773,254.68,4157.69,64.48
95,1786,246.83,3099.21,55.67
96,16307,275.58,25661.04,160.19
97,1984,235.88,2522.51,50.22
98,4678,238.19,3984.86,63.13
99,28578,414.12,346315.81,588.49
100,6976,265.77,14621.55,120.92

--- Producers: 20 ---
1,1913,236.37,1940.66,44.05
2,2896,248.71,3657.20,60.47
3,2230,243.36,3032.00,55.06
4,2184,236.53,3096.75,55.65
5,1930,246.79,4315.37,65.69
6,2581,254.59,5283.94,72.69
7,1898,244.96,3897.95,62.43
8,2417,238.56,3635.63,60.30
9,2403,251.36,7549.04,86.89
10,2438,251.33,5803.44,76.18
11,3983,266.66,14361.58,119.84
12,1924,238.96,2783.65,52.76
13,2198,252.17,5211.64,72.19
14,2272,242.60,3392.12,58.24
15,3403,247.55,3802.99,61.67
16,2320,243.36,4447.84,66.69
17,1891,236.84,3464.24,58.86
18,2154,242.43,2741.50,52.36
19,1870,241.92,3581.27,59.84
20,2147,245.32,5165.48,71.87
21,2344,235.81,2228.99,47.21
22,2091,240.57,2819.83,53.10
23,5455,259.32,10025.25,100.13
24,2481,262.34,5338.86,73.07
25,2479,247.58,2946.63,54.28
26,2407,244.07,2672.94,51.70
27,2382,243.50,3238.52,56.91
28,2020,228.69,1654.26,40.67
29,1924,230.12,2210.28,47.01
30,2385,237.86,6171.72,78.56
31,2242,238.05,3559.77,59.66
32,2241,235.19,6662.49,81.62
33,4779,233.83,4560.83,67.53
34,2044,237.50,5394.24,73.45
35,2601,235.66,4726.72,68.75
36,2251,242.55,5878.21,76.67
37,6288,236.02,7103.87,84.28
38,2892,255.78,19697.12,140.35
39,3667,238.31,7694.86,87.72
40,3249,237.14,7733.63,87.94
41,2244,234.74,3965.22,62.97
42,2282,232.35,3220.22,56.75
43,2123,227.29,1680.65,41.00
44,2161,226.27,1669.67,40.86
45,2439,232.76,3253.97,57.04
46,2588,232.19,3549.95,59.58
47,2331,230.73,2945.88,54.28
48,2662,230.72,4197.16,64.79
49,2133,232.82,3745.90,61.20
50,2168,235.10,4330.42,65.81
51,2545,237.81,7981.44,89.34
52,2307,236.18,4644.07,68.15
53,2204,235.73,4232.01,65.05
54,2180,231.77,3903.41,62.48
55,2236,234.71,4713.10,68.65
56,3119,236.23,5633.67,75.06
57,2968,239.02,5860.22,76.55
58,2969,235.60,6784.69,82.37
59,2763,232.97,2831.78,53.21
60,2059,232.94,3284.96,57.31
61,2069,235.39,2858.75,53.47
62,2865,247.65,5196.43,72.09
63,2172,234.74,3000.25,54.77
64,2540,236.65,3046.77,55.20
65,2383,223.12,1666.35,40.82
66,2167,229.87,1955.35,44.22
67,2222,238.80,3227.61,56.81
68,2621,234.78,4047.39,63.62
69,2684,241.78,3435.84,58.62
70,2145,233.59,2269.86,47.64
71,2335,238.13,2119.02,46.03
72,2306,261.64,6737.39,82.08
73,2460,256.62,8504.79,92.22
74,3041,241.91,4889.06,69.92
75,2729,235.24,4504.66,67.12
76,2691,235.92,3824.75,61.84
77,6280,239.37,6436.95,80.23
78,2427,235.27,3247.30,56.99
79,2444,238.57,4530.74,67.31
80,4302,237.37,4914.30,70.10
81,3498,238.38,3994.81,63.20
82,2364,240.13,5058.26,71.12
83,2922,240.58,5421.70,73.63
84,2445,237.16,5133.84,71.65
85,2422,232.65,4363.83,66.06
86,2358,232.93,1979.43,44.49
87,2093,239.50,4631.11,68.05
88,2286,234.23,3467.80,58.89
89,2537,233.43,2418.62,49.18
90,2559,232.76,4551.55,67.47
91,2587,235.97,6028.76,77.65
92,2341,233.57,3970.43,63.01
93,2708,236.22,3626.46,60.22
94,2540,240.96,4841.49,69.58
95,3180,240.67,4194.77,64.77
96,2647,237.85,4563.93,67.56
97,2457,239.23,5216.98,72.23
98,2516,244.96,4477.68,66.92
99,2538,238.15,4190.10,64.73
100,2589,234.72,3817.94,61.79

--- Producers: 25 ---
1,3004,236.17,3492.70,59.10
2,3164,237.24,5495.16,74.13
3,3317,238.51,6025.70,77.63
4,3013,239.98,7377.34,85.89
5,3487,223.23,1676.84,40.95
6,3177,230.84,2095.19,45.77
7,3214,237.32,3781.87,61.50
8,2876,235.81,3575.08,59.79
9,3584,234.74,2292.56,47.88
10,3297,238.32,4907.68,70.05
11,3173,233.60,4051.34,63.65
12,3049,236.58,5264.74,72.56
13,3461,241.08,7073.98,84.11
14,2917,236.82,5753.34,75.85
15,3246,241.29,5973.58,77.29
16,3406,243.26,5775.04,75.99
17,3529,234.17,3927.35,62.67
18,3177,239.63,4794.76,69.24
19,3245,242.63,5888.19,76.73
20,3492,237.45,4562.65,67.55
21,3090,240.99,5315.01,72.90
22,3087,239.76,6440.81,80.25
23,3388,223.86,2063.94,45.43
24,3267,226.50,1721.03,41.49
25,3092,239.33,7227.05,85.01
26,3095,236.50,3451.51,58.75
27,5087,233.98,3568.63,59.74
28,3287,243.35,4373.10,66.13
29,3332,235.70,3119.03,55.85
30,3712,236.42,3725.77,61.04
31,7387,239.12,5539.31,74.43
32,3526,238.16,5251.05,72.46
33,4405,237.11,5025.82,70.89
34,3112,241.79,6667.67,81.66
35,3090,234.66,4825.24,69.46
36,3645,239.30,5788.17,76.08
37,3850,243.36,4715.01,68.67
38,3608,239.08,4602.51,67.84
39,3491,239.65,4538.39,67.37
40,3220,226.46,1940.93,44.06
41,3482,229.26,2056.01,45.34
42,3599,238.03,4745.10,68.88
43,3254,232.84,1910.71,43.71
44,3340,232.37,2085.37,45.67
45,3738,237.42,4484.77,66.97
46,4393,240.55,6556.34,80.97
47,3786,237.91,5797.33,76.14
48,3489,238.58,5855.04,76.52
49,3384,239.08,6935.03,83.28
50,4585,239.38,6977.60,83.53
51,3924,254.13,9887.06,99.43
52,4434,237.36,4279.47,65.42
53,4225,244.85,5500.45,74.16
54,3787,236.69,4261.55,65.28
55,3508,237.62,3910.66,62.54
56,4058,223.56,1807.14,42.51
57,3216,226.89,1896.33,43.55
58,3735,237.19,5013.98,70.81
59,3841,244.87,3020.99,54.96
60,3497,233.81,3121.57,55.87
61,3531,233.30,3469.14,58.90
62,4402,238.21,4868.07,69.77
63,3443,241.47,6590.61,81.18
64,3757,239.08,6177.38,78.60
65,3705,237.31,4862.60,69.73
66,3813,244.99,9361.70,96.76
67,3713,238.33,6349.11,79.68
68,3964,243.60,8884.45,94.26
69,3778,244.13,10053.10,100.27
70,53106,335.50,176125.20,419.67
71,8891,238.39,6651.21,81.55
72,3549,238.58,5661.09,75.24
73,4959,230.83,2831.42,53.21
74,3876,225.77,1908.67,43.69
75,3379,232.93,4093.41,63.98
76,3809,234.25,2909.10,53.94
77,3872,238.08,3240.12,56.92
78,6748,237.92,5040.24,70.99
79,4000,240.97,6094.19,78.07
80,3686,240.76,6380.68,79.88
81,3855,237.76,6967.70,83.47
82,3535,243.47,9462.06,97.27
83,4163,243.99,7874.31,88.74
84,3951,233.76,3325.75,57.67
85,3704,238.79,5569.72,74.63
86,5124,244.96,7463.26,86.39
87,4996,299.30,18740.90,136.90
88,6061,312.76,15780.40,125.62
89,5444,277.69,7739.35,87.97
90,4107,266.10,4553.51,67.48
91,4361,275.88,7344.47,85.70
92,6456,262.13,7255.65,85.18
93,4193,266.24,4735.23,68.81
94,3756,265.76,5563.86,74.59
95,4025,270.82,8728.24,93.43
96,6859,288.88,11764.19,108.46
97,4188,276.92,7742.34,87.99
98,4639,265.30,4859.16,69.71
99,31277,343.59,130545.98,361.31
100,4845,270.08,5678.91,75.36
